iter	Passed	Remaining
0	3	3167
1	4	2243
2	5	1879
3	6	1655
4	7	1540
5	8	1457
6	9	1413
7	10	1356
8	11	1309
9	13	1302
10	15	1420
11	16	1387
12	17	1351
13	18	1319
14	19	1301
15	20	1276
16	21	1256
17	22	1236
18	23	1218
19	24	1201
20	25	1189
21	26	1177
22	27	1165
23	28	1166
24	30	1175
25	31	1179
26	32	1168
27	33	1157
28	34	1148
29	35	1140
30	36	1132
31	37	1125
32	38	1119
33	39	1112
34	40	1102
35	40	1096
36	41	1090
37	42	1083
38	45	1109
39	46	1107
40	47	1101
41	48	1095
42	48	1089
43	49	1085
44	50	1080
45	51	1076
46	53	1085
47	54	1085
48	55	1083
49	56	1082
50	60	1118
51	61	1120
52	64	1154
53	66	1157
54	67	1159
55	68	1153
56	69	1146
57	70	1146
58	71	1138
59	72	1129
60	72	1121
61	76	1151
62	76	1144
63	78	1153
64	79	1148
65	80	1140
66	81	1133
67	82	1125
68	82	1118
69	83	1111
70	84	1104
71	85	1097
72	85	1090
73	86	1084
74	87	1078
75	88	1072
76	89	1073
77	90	1072
78	92	1073
79	94	1082
80	95	1080
81	96	1079
82	96	1071
83	97	1065
84	98	1061
85	99	1059
86	100	1057
87	101	1053
88	102	1050
89	104	1058
90	105	1057
91	106	1053
92	107	1049
93	108	1044
94	109	1039
95	109	1035
96	110	1030
97	111	1025
98	112	1021
99	113	1017
100	113	1012
101	114	1008
102	115	1004
103	116	1000
104	116	996
105	118	1003
106	120	1003
107	120	999
108	121	995
109	122	991
110	123	987
111	124	983
112	124	979
113	125	977
114	126	975
115	127	971
116	128	966
117	128	963
118	129	959
119	130	956
120	131	953
121	131	948
122	133	949
123	134	950
124	136	954
125	137	955
126	138	954
127	140	954
128	141	952
129	142	951
130	143	951
131	144	948
132	144	944
133	145	941
134	146	938
135	148	945
136	149	942
137	150	939
138	151	936
139	151	933
140	152	930
141	153	925
142	154	923
143	154	920
144	155	917
145	156	917
146	157	914
147	158	911
148	159	908
149	159	905
150	160	903
151	161	900
152	162	900
153	163	899
154	164	898
155	166	898
156	167	899
157	168	897
158	169	895
159	170	893
160	170	890
161	171	887
162	172	885
163	173	884
164	174	883
165	175	882
166	177	886
167	179	886
168	180	885
169	181	884
170	182	883
171	183	881
172	184	880
173	185	879
174	186	878
175	187	877
176	188	875
177	189	874
178	190	873
179	192	874
180	193	874
181	194	872
182	195	870
183	195	868
184	196	866
185	197	863
186	198	861
187	199	860
188	201	864
189	203	865
190	204	864
191	205	863
192	207	866
193	208	866
194	209	864
195	210	862
196	211	860
197	212	860
198	213	859
199	214	858
200	215	857
201	216	854
202	217	852
203	218	850
204	218	848
205	219	846
206	220	845
207	222	848
208	223	847
209	225	846
210	226	845
211	227	844
212	228	843
213	229	841
214	230	840
215	231	839
216	232	838
217	233	837
218	234	835
219	235	836
220	237	837
221	238	835
222	239	833
223	240	832
224	240	829
225	241	828
226	242	826
227	243	824
228	244	823
229	245	821
230	246	819
231	246	817
232	247	815
233	248	813
234	249	811
235	250	811
236	251	810
237	252	809
238	253	808
239	255	809
240	257	809
241	258	808
242	259	807
243	260	806
244	261	805
245	262	804
246	263	802
247	264	801
248	267	805
249	268	804
250	269	802
251	269	801
252	270	799
253	271	797
254	272	795
255	273	793
256	273	791
257	274	789
258	275	788
259	276	787
260	277	785
261	278	783
262	279	781
263	280	781
264	282	782
265	282	780
266	283	778
267	284	776
268	285	775
269	286	773
270	286	771
271	287	769
272	288	768
273	291	772
274	293	773
275	296	776
276	298	778
277	299	777
278	300	776
279	301	775
280	302	774
281	304	774
282	305	772
283	305	771
284	306	769
285	307	767
286	308	765
287	309	764
288	310	764
289	312	763
290	312	762
291	313	760
292	314	758
293	315	757
294	316	755
295	316	753
296	317	752
297	318	750
298	319	749
299	320	748
300	321	747
301	322	746
302	324	745
303	325	745
304	326	745
305	327	743
306	328	741
307	329	740
308	330	738
309	331	736
310	331	735
311	333	734
312	333	733
313	334	731
314	335	729
315	336	728
316	337	726
317	338	724
318	338	723
319	340	722
320	341	722
321	342	721
322	343	720
323	345	720
324	346	719
325	347	718
326	348	717
327	349	716
328	350	715
329	351	713
330	352	712
331	354	712
332	355	712
333	356	711
334	357	709
335	358	708
336	359	706
337	359	704
338	360	703
339	361	701
340	362	700
341	363	698
342	364	697
343	365	696
344	365	694
345	366	693
346	367	691
347	368	690
348	370	690
349	371	689
350	372	688
351	373	686
352	373	685
353	374	683
354	375	682
355	376	680
356	377	679
357	377	677
358	378	676
359	379	674
360	380	673
361	381	671
362	381	670
363	382	668
364	384	669
365	386	668
366	386	667
367	387	665
368	388	664
369	389	662
370	390	661
371	390	659
372	392	659
373	392	657
374	393	656
375	394	654
376	395	653
377	396	651
378	396	650
379	397	648
380	398	647
381	400	647
382	401	646
383	402	645
384	402	643
385	403	642
386	404	640
387	405	639
388	406	637
389	406	636
390	407	635
391	408	633
392	409	632
393	410	630
394	411	629
395	411	628
396	412	626
397	413	625
398	415	625
399	416	624
400	417	623
401	417	621
402	418	620
403	419	618
404	420	617
405	421	615
406	423	617
407	425	616
408	426	615
409	427	614
410	430	616
411	431	616
412	434	617
413	435	616
414	436	615
415	437	614
416	438	613
417	439	611
418	440	610
419	441	609
420	442	608
421	443	607
422	444	606
423	445	605
424	446	604
425	447	603
426	448	602
427	449	600
428	450	599
429	451	598
430	452	597
431	453	596
432	454	595
433	455	594
434	456	592
435	457	591
436	459	592
437	460	591
438	461	590
439	462	589
440	463	588
441	464	586
442	466	586
443	467	585
444	468	584
445	469	583
446	470	582
447	471	581
448	474	582
449	475	581
450	476	579
451	477	578
452	477	577
453	478	575
454	479	574
455	480	573
456	481	571
457	482	570
458	483	569
459	484	568
460	484	566
461	485	565
462	486	564
463	487	563
464	489	563
465	491	562
466	492	561
467	492	560
468	493	559
469	494	557
470	495	556
471	496	555
472	498	555
473	499	554
474	500	553
475	501	551
476	501	550
477	502	548
478	503	547
479	504	546
480	505	545
481	506	543
482	506	542
483	507	541
484	508	540
485	509	538
486	510	537
487	511	536
488	512	535
489	513	534
490	514	533
491	516	533
492	517	531
493	517	530
494	518	529
495	519	527
496	519	526
497	520	524
498	521	523
499	522	522
500	522	520
501	523	519
502	524	518
503	525	516
504	526	516
505	527	515
506	528	514
507	529	512
508	530	511
509	530	510
510	531	508
511	532	507
512	533	506
513	533	504
514	534	503
515	535	502
516	536	500
517	536	499
518	537	498
519	538	496
520	539	495
521	539	494
522	541	493
523	542	492
524	543	491
525	544	490
526	545	489
527	546	488
528	546	486
529	547	485
530	548	484
531	549	483
532	550	482
533	551	480
534	551	479
535	552	478
536	553	477
537	554	475
538	554	474
539	556	473
540	557	473
541	558	472
542	559	470
543	560	469
544	560	468
545	561	466
546	562	465
547	563	464
548	564	463
549	564	462
550	565	460
551	566	459
552	567	458
553	567	457
554	568	456
555	569	454
556	571	454
557	572	453
558	573	452
559	573	450
560	574	449
561	575	448
562	576	447
563	577	446
564	578	445
565	579	444
566	580	443
567	580	441
568	581	440
569	582	439
570	583	438
571	583	436
572	585	436
573	586	435
574	588	434
575	588	433
576	589	432
577	590	431
578	591	430
579	592	428
580	593	427
581	593	426
582	594	425
583	596	424
584	597	423
585	598	422
586	598	421
587	599	420
588	601	419
589	602	418
590	604	418
591	605	417
592	606	415
593	606	414
594	607	413
595	608	412
596	609	411
597	609	410
598	610	408
599	611	407
600	612	406
601	613	405
602	613	404
603	615	403
604	616	402
605	617	401
606	618	400
607	618	399
608	619	397
609	620	396
610	621	395
611	622	394
612	623	393
613	624	392
614	625	391
615	626	390
616	627	389
617	628	388
618	629	387
619	630	386
620	633	386
621	636	386
622	638	386
623	640	385
624	641	385
625	643	384
626	646	384
627	648	384
628	649	383
629	650	382
630	651	380
631	652	379
632	653	378
633	654	377
634	655	376
635	656	375
636	658	375
637	660	374
638	661	373
639	662	372
640	663	371
641	664	370
642	665	369
643	667	368
644	667	367
645	668	366
646	669	365
647	670	364
648	672	363
649	673	362
650	675	362
651	676	361
652	677	360
653	678	359
654	679	358
655	680	356
656	681	355
657	682	354
658	683	353
659	684	352
660	685	351
661	686	350
662	688	349
663	690	349
664	691	348
665	693	347
666	694	346
667	695	345
668	696	344
669	697	343
670	698	342
671	699	341
672	701	340
673	702	339
674	704	339
675	705	338
676	707	337
677	708	336
678	709	335
679	709	334
680	710	332
681	711	331
682	713	331
683	714	329
684	714	328
685	716	327
686	717	327
687	719	326
688	721	325
689	721	324
690	722	323
691	723	322
692	724	321
693	725	320
694	726	318
695	727	317
696	728	316
697	730	315
698	731	315
699	733	314
700	734	313
701	736	312
702	737	311
703	737	310
704	738	309
705	739	307
706	740	306
707	741	305
708	742	304
709	743	303
710	744	302
711	745	301
712	747	300
713	749	300
714	750	299
715	751	297
716	752	296
717	753	295
718	754	294
719	755	293
720	755	292
721	756	291
722	757	290
723	759	289
724	761	288
725	762	287
726	764	286
727	765	286
728	766	285
729	768	284
730	769	283
731	770	282
732	771	280
733	772	279
734	772	278
735	774	277
736	776	277
737	778	276
738	778	275
739	779	273
740	780	272
741	781	271
742	782	270
743	783	269
744	784	268
745	785	267
746	786	266
747	788	265
748	790	264
749	791	263
750	793	263
751	795	262
752	796	261
753	796	259
754	797	258
755	798	257
756	800	256
757	800	255
758	801	254
759	802	253
760	805	252
761	807	252
762	808	251
763	809	250
764	810	249
765	811	247
766	812	246
767	813	245
768	814	244
769	814	243
770	815	242
771	817	241
772	818	240
773	820	239
774	821	238
775	823	237
776	824	236
777	825	235
778	826	234
779	828	233
780	829	232
781	830	231
782	831	230
783	832	229
784	834	228
785	835	227
786	836	226
787	838	225
788	840	224
789	841	223
790	842	222
791	843	221
792	845	220
793	846	219
794	846	218
795	848	217
796	849	216
797	852	215
798	853	214
799	854	213
800	854	212
801	855	211
802	856	210
803	857	209
804	858	207
805	859	206
806	860	205
807	861	204
808	861	203
809	863	202
810	865	201
811	866	200
812	867	199
813	868	198
814	868	197
815	869	196
816	870	195
817	871	193
818	872	192
819	872	191
820	873	190
821	874	189
822	875	188
823	876	187
824	877	186
825	881	185
826	884	185
827	888	184
828	891	183
829	901	184
830	903	183
831	907	183
832	914	183
833	915	182
834	918	181
835	920	180
836	922	179
837	924	178
838	926	177
839	929	177
840	931	176
841	933	175
842	935	174
843	937	173
844	943	173
845	945	172
846	947	171
847	950	170
848	951	169
849	954	168
850	957	167
851	959	166
852	960	165
853	962	164
854	965	163
855	967	162
856	971	162
857	974	161
858	976	160
859	978	159
